id,name,age,gender,city,country,credit_card,full_address,user_source_type,user_status,product_name,category,subcategory,price,date_purchase,quantity,rating,comment
2223,Sarah Wilson,75,F,East Jamestown,Antigua and Barbuda,5125967060260477,"22201 Anderson Loaf, Millerstad, PW 36395",Yearly,Churned,PantsFits,Clothing,Pants,197.00,2020-02-26,8,4,Qui et magni ut reiciendis.
2224,Joseph Rodriguez,150,M,Jamieville,Tajikistan,2294884476645500,"5747 Williams Roads Suite 831, Lake Thomas, PW 81855",Rarely,Churned,TastySnacks,Grocery,Snacks,-19.00,2023-02-14,2,4,Non velit soluta rem ipsa error.
2225,Kelly Mora,150,M,New Thomasfort,Micronesia,5466761192129883,"2975 Alan Via, Christinaside, MS 60980",Monthly,Churned,SpeakerMaster,Electronics,Speaker,586.00,2023-05-26,1,2,Qui illum non ipsum earum velit.
2226,Paige Morales,22,M,Elizabethport,Gibraltar,2278084612779897,"40087 Jessica Loaf, Susanside, SC 35277",Yearly,Active,ShirtFits,Clothing,Shirt,697.00,2023-08-16,3,4,Sint quia quia error rerum amet.
2227,Crystal Martin,-3,M,South Stephanie,Faroe Islands,2252023110227165,"2102 Colleen Gateway Suite 142, Jonesberg, MP 41185",Yearly,Active,PantsFits,Clothing,Pants,197.00,2023-03-10,10,4,Maiores quibusdam ipsa accusantium animi libero quaerat quod.
2228,Ronald Compton,-3,M,Latashatown,Netherlands Antilles,2288468727039610,"040 Ford Causeway Suite 899, New Samantha, OK 06682",Monthly,Active,LaptopMaster,Electronics,Laptop,-5.00,2022-03-22,6,3,Voluptas quasi cumque et.
2229,Ebony Tanner,150,M,South Crystal,Netherlands Antilles,2705999135731534,"497 Ryan Valley, Lake Ruth, MP 49632",Monthly,Churned,BeveragesBurst,Grocery,Beverages,775.00,2020-10-11,8,1,Pariatur perspiciatis totam ab sunt qui.
2230,Gregory Anderson,150,M,Port Adam,Iraq,2299007109229949,"8230 Tran Plain Suite 301, New Karenmouth, NM 83314",Yearly,Churned,ComfortChair,Furniture,Chair,-63.00,2019-07-01,2,3,Consequuntur quo mollitia autem ad non.
2231,Troy Clark,52,M,Cummingsmouth,Nauru,2242877603047767,"5854 Nicole Loaf, Tylershire, CO 44581",Yearly,Active,VegetablesPro,Grocery,Vegetables,779.00,2022-03-27,9,3,Aspernatur et recusandae dignissimos ipsa.
2232,Bradley Pennington,73,F,South Billy,Bahamas,2277355918628827,"981 Thomas Track, Banksville, OR 98862",Yearly,Active,FreshBeverages,Grocery,Beverages,805.00,2021-01-16,9,3,Esse excepturi aut blanditiis autem.
2233,Pamela Hardin,150,M,Bryantfurt,Gambia,2227256457172600,"843 Douglas Lights Apt. 017, Maldonadostad, AK 38271",Monthly,Active,ChairPlus,Furniture,Chair,118.00,2020-09-04,5,2,Id est ea ut ut tenetur dignissimos.
2234,Christina Wilcox,66,F,Adkinsberg,United Kingdom,5173234720167464,"74391 Villarreal Land Suite 272, Camachoshire, VT 07209",Yearly,Active,FictionGuide,Books,Fiction,-57.00,2021-08-23,8,4,Et dolores repudiandae voluptatem sed.
2235,Daniel Dickerson,56,M,South Shelby,Czech Republic,5406870458338980,"139 Johnson Field, West Robertfort, DE 80656",Yearly,Churned,UltraPhone,Electronics,Phone,50.00,2019-07-02,9,3,Cumque odio qui provident vero ullam ipsum voluptatibus.
2236,Jasmine Rios,49,F,Lake Stacy,Bermuda,2541175589756305,"425 David Islands, South Jennifer, MT 33227",Yearly,Active,SofaDeluxe,Furniture,Sofa,266.00,2021-05-03,10,1,Molestiae id consequatur nihil.
2237,Charles Chavez,150,F,Lake Carol,Micronesia,2421816808841205,"865 Katherine Parkways Suite 833, Aprilfurt, AR 80700",Yearly,Churned,SnacksBurst,Grocery,Snacks,-73.00,2022-06-10,1,4,Beatae reprehenderit voluptatem rerum recusandae ut eum animi.
2238,Sarah Reid,78,F,East Shawnashire,Colombia,2254930319609803,"72024 Lori Spur, New Laura, TN 20543",Yearly,Active,SpeakerMaster,Electronics,Speaker,891.00,2021-03-28,6,1,Cumque eaque ut sunt amet pariatur et.
2239,Nancy Shea,62,F,Fuenteschester,Madagascar,2246785980556712,"326 Nichols Avenue Apt. 233, Wilsonstad, ME 15003",Yearly,Churned,The Art of Educational,Books,Educational,821.00,2020-03-06,8,1,Nam qui voluptate nostrum.
2240,Cynthia Johnston,59,F,Port Amber,United Kingdom,2453898309081706,"6890 Elizabeth Forest Apt. 774, North Sarahchester, NM 10003",Yearly,Active,SnacksBurst,Grocery,Snacks,-18.00,2023-03-04,1,3,Tempora porro sed in quisquam.
2241,Donald Durham,80,M,South Robert,Mismatched Country,2281563971844967,"04223 Shelby Extension Suite 208, Ashleyfurt, NJ 24251",Yearly,Active,FreshVegetables,Grocery,Vegetables,-77.00,2019-11-27,2,5,Omnis consequatur dicta laborum ullam voluptatibus eos.
2242,Lisa Stewart,150,F,Ortizside,Saint Pierre and Miquelon,2265365054526770,"2076 Weaver Gateway, Timothyland, TX 75151",Yearly,Active,PhonePro,Electronics,Phone,408.00,2023-08-18,6,4,Amet incidunt recusandae inventore aut.
2243,Kimberly Clark,150,F,South Josechester,Finland,2326435332771501,"52622 Clark Causeway Suite 029, Brentstad, OK 28683",Monthly,Active,FreshBeverages,Grocery,Beverages,432.00,2023-08-12,7,2,Doloribus eveniet est reiciendis minima laboriosam soluta aliquam.
2244,Karen Chandler,24,M,Davidburgh,Thailand,2309906947057800,"226 Compton Island, Nicholasview, AR 68039",Yearly,Active,ComfortSofa,Furniture,Sofa,-60.00,2019-11-19,6,5,Eum laudantium ab laborum autem.
2245,Stephen Dawson,-5,M,Danielsborough,Azerbaijan,2604973984183305,"785 Shaun Road, Gambleborough, LA 25007",Yearly,Active,VegetablesBurst,Grocery,Vegetables,839.00,2023-03-03,3,4,Maiores molestiae quae sunt magni eaque quisquam quibusdam.
2246,Susan Wright,150,M,Nelsonton,Senegal,5162807693500747,"1395 Michele Crossing, East Dustinchester, ME 13563",Yearly,Churned,PantsFits,Clothing,Pants,818.00,2022-05-11,8,1,Consequuntur nihil voluptatem vel corrupti.
2247,Kevin Curtis,3,M,Erikbury,Botswana,2240531078937646,"1057 Jeanette Common Apt. 252, Savannahburgh, OH 14865",Yearly,Churned,NULL,Grocery,Beverages,70.00,2020-12-31,8,5,Est est temporibus est voluptatem.
2248,Michele Best,72,M,Port Sergio,Egypt,2556439104848944,"4039 David Fords Apt. 678, Lake Christopherberg, PA 42384",Yearly,Churned,VegetablesBurst,Grocery,Vegetables,-1.00,2019-10-18,6,4,Voluptate unde in ratione temporibus enim.
2249,Robin Day,18,M,East Tiffanyshire,Czech Republic,2270985895054246,"84234 Whitney Loaf Suite 548, New Jimmyshire, MN 10010",Rarely,Active,SnacksBurst,Grocery,Snacks,961.00,2023-11-01,9,5,Doloremque sapiente amet cum quam exercitationem nihil autem.
2250,Michele Oliver,16,M,Yangborough,Botswana,5156108205576632,"34451 Susan Pine Suite 318, Boylebury, SC 21007",Rarely,Active,ShirtWear,Clothing,Shirt,519.00,2019-05-31,6,3,Sed odit quos illum repellendus.
2251,Danny Rosales,-1,F,Johnland,Gabon,2334514959164412,"PSC 9942, Box 6454, APO AE 33188",Yearly,Active,EducationalTales,Books,Educational,365.00,2019-06-22,6,5,Dolor illum qui magnam rerum sit eligendi rem.
2252,Javier Howard,150,M,Juliaview,Puerto Rico,5398454720192531,"45539 Nelson Forges Apt. 007, Jacobshaven, NM 75096",Yearly,Churned,TastySnacks,Grocery,Snacks,737.00,2020-11-09,10,5,Sint tempora molestiae qui rerum.
2253,Laura Davis,150,M,Rebeccamouth,Bouvet Island (Bouvetoya),2520870398912751,"401 Austin Spring Apt. 143, North Steveland, MP 53818",Yearly,Active,The Art of Fiction,Books,Fiction,888.00,2022-11-20,10,3,Necessitatibus magnam soluta sed ipsum saepe.
2254,William Long,150,M,North Samuelshire,Lebanon,5541832135854256,"370 Michael Point Apt. 211, Arnoldland, PW 93613",Rarely,Active,TablePlus,Furniture,Table,-94.00,2019-05-06,3,4,Nulla officia dolore et.
2255,Scott Patterson,-3,M,East Travisshire,Solomon Islands,2330491579988997,"19062 Nicole Plaza, Charlesport, WI 02353",Yearly,Churned,ComfortTable,Furniture,Table,-38.00,2019-03-31,4,3,Nihil qui vel unde delectus aliquam repellat laudantium.
2256,James Holmes,150,F,Port Kimberlyshire,Guernsey,2720073205596747,"8516 Stacey Light Suite 919, Jenniferport, TX 34734",Monthly,Active,NULL,Clothing,Jacket,745.00,2020-12-05,8,1,Earum provident exercitationem quam est et.
2257,Julie Taylor,63,M,Lake Kenneth,Burundi,2259826416476838,"PSC 3464, Box 6892, APO AA 58277",Yearly,Churned,EducationalGuide,Books,Educational,483.00,2022-06-15,3,2,Blanditiis sit aperiam accusamus libero quod iusto numquam alias.
2258,Martin Butler,30,M,Port Jasonfort,Switzerland,5227668568326938,"USS Ochoa, FPO AE 18241",Monthly,Active,NULL,Electronics,Laptop,-3.00,2019-01-20,1,3,Voluptas hic adipisci quaerat et assumenda quo et.
2259,Beth Bruce,150,M,Kellishire,Sao Tome and Principe,2720268333786315,"36705 Charles Creek Apt. 170, Port Morganview, VI 28718",Monthly,Churned,ComfortSofa,Furniture,Sofa,882.00,2022-12-07,5,5,Nam sed cum velit suscipit ducimus odio.
2260,Thomas Webb,-4,F,Lake Meganville,Saint Helena,2232007009475279,"18127 Green Route Suite 843, South Danielleville, WY 22414",Rarely,Active,SofaDeluxe,Furniture,Sofa,23.00,2021-11-06,4,4,Quia quia qui labore repudiandae quasi ducimus voluptates.
2261,Michael Hampton,5,M,North Carl,Slovenia,5586093738699327,"276 Santos Plaza Suite 005, Atkinsonview, VT 14529",Yearly,Churned,TastySnacks,Grocery,Snacks,-46.00,2022-10-26,5,4,Ut pariatur ipsam neque ad porro.
2262,Felicia English,4,M,Port Gregoryport,Poland,2400506006356784,"73259 Gray Inlet, East Davidville, CT 22349",Yearly,Active,UltraLaptop,Electronics,Laptop,-68.00,2019-05-09,4,4,Illo iste dolor labore aliquam vel.
2263,Christopher Vasquez,76,M,Danielport,Portugal,2265950605282054,"52126 Annette Park, Heatherborough, OH 79402",Yearly,Churned,JacketFits,Clothing,Jacket,-13.00,2022-01-05,2,2,Cupiditate expedita voluptas rerum nobis.
2264,Richard White,-3,M,North Jeffreybury,Liechtenstein,2279209648251129,"PSC 4896, Box 3688, APO AE 47772",Rarely,Churned,ProJacket,Clothing,Jacket,-91.00,2023-08-09,8,2,Sit repellendus quia voluptatem et totam libero consequuntur.
2265,Lauren Lambert,52,M,Valeriefort,Congo,5380524203464514,"07037 Darrell Court Apt. 372, East Brucehaven, DC 21516",Yearly,Churned,JacketFits,Clothing,Jacket,-48.00,2023-09-18,7,2,Quis dolore voluptas accusantium rem distinctio id sit.
2266,Breanna Lucas,3,F,West Lisaside,Georgia,2249455016419809,"400 Kelly Square Apt. 386, New Christinabury, FL 15036",Yearly,Active,FreshBeverages,Grocery,Beverages,-100.00,2020-08-08,9,5,Sed id aut deleniti.
2267,Sheila Hatfield,150,F,North Austinfort,Cocos (Keeling) Islands,2328914091383391,"78594 Franklin Shore Apt. 358, Port Kennethville, ID 50771",Monthly,Churned,Non-fictionGuide,Books,Non-fiction,794.00,2023-03-30,4,5,Vitae incidunt nisi id omnis voluptas expedita.
2268,Rodney Sweeney,34,F,Port Aliciaview,Aruba,2262200324987655,"9898 Velez Road Suite 454, East Marie, AL 00803",Yearly,Active,EducationalTales,Books,Educational,-7.00,2022-09-25,1,1,Et et voluptatum facere vitae.
2269,Sue Steele,150,M,Harrishaven,United States Minor Outlying Islands,5131930823749337,"2267 Stephanie Trafficway Apt. 007, New Robert, AK 73498",Yearly,Active,SofaDeluxe,Furniture,Sofa,23.00,2019-10-05,8,2,Fugit neque dolorum ex maiores sed ipsum.
2270,Elizabeth Wells,4,F,Thomasbury,Turkey,2616236981652003,"035 Kelly Mountain, Richardchester, RI 02088",Yearly,Active,ShirtGuide,Clothing,Shirt,369.00,2022-11-18,5,2,Excepturi aliquid et error explicabo qui provident mollitia.
2271,Mr. Michael Welch II,79,M,West Jonathan,Mozambique,2582849475095842,"PSC 9886, Box 2639, APO AP 12960",Yearly,Active,TablePlus,Furniture,Table,-11.00,2022-08-14,7,1,Dolore est dolor accusamus repudiandae dicta facere.
2272,Mariah Smith,5,M,Morenobury,Germany,5166902130316579,"PSC 4797, Box 1755, APO AP 89199",Yearly,Active,PantsFits,Clothing,Pants,818.00,2022-08-17,3,4,Nemo eaque ex eligendi illum quia expedita.
2273,Breanna Miller,150,M,North Olivia,San Marino,5175014181581165,"66174 Victor Overpass, Thompsonview, PR 24528",Yearly,Active,EducationalTales,Books,Educational,-74.00,2020-04-30,3,1,Et velit et laboriosam eaque dignissimos magni.
2274,Travis Schultz,66,M,New Melodyport,Nauru,2252207003367507,"USNS Hall, FPO AP 60696",Yearly,Churned,PantsFits,Clothing,Pants,818.00,2022-06-22,6,4,Rerum voluptate qui ipsum ipsa corporis.
2275,Monica Allen,58,M,Wendyburgh,Dominican Republic,2232126746967263,"111 Robert Stream Apt. 568, Evansview, FM 51535",Yearly,Churned,TastyVegetables,Grocery,Vegetables,-32.00,2019-01-05,6,5,Maxime facere sit commodi dolore eum facere aliquid quia.
2276,Bryan Phillips,10,M,Port Sonyaborough,Afghanistan,2242979393496558,"8505 Gilbert Forges Suite 981, Port Bobburgh, DE 79661",Yearly,Active,FreshBeverages,Grocery,Beverages,-10.00,2021-10-27,8,1,Adipisci quisquam iste culpa ut dolores voluptatem qui dolor.
2277,Amy Phillips,1,F,Paulachester,Latvia,5163575914060911,"0496 David Squares Suite 403, Ricefort, KY 47855",Yearly,Active,UltraPhone,Electronics,Phone,-90.00,2022-04-16,5,5,Est natus explicabo blanditiis.
2278,Brandon Mccormick,-4,F,Connietown,Chile,2720758581368022,"9516 Katherine Path Apt. 734, North Andrew, OR 51333",Yearly,Active,UltraLaptop,Electronics,Laptop,-86.00,2023-06-10,4,5,Nobis repellendus est nemo asperiores officiis nam delectus.
2279,Heather Schneider,46,M,North Amyland,Niger,2720758790072597,"11204 Castillo Trail, Alexisshire, NH 09803",Yearly,Churned,The Art of Non-fiction,Books,Non-fiction,647.00,2021-01-19,5,2,Voluptas odit quibusdam voluptate quia ratione enim fugit.
2280,Kelly Webster,150,F,North Kevin,Guatemala,2548650676477695,"253 Bennett Knoll, Codyborough, SC 00513",Yearly,Active,BeveragesBurst,Grocery,Beverages,-38.00,2022-10-02,3,5,Deserunt saepe eum eum tempora sequi.
2281,Kelly Webster,150,F,North Kevin,Guatemala,2548650676477695,"253 Bennett Knoll, Codyborough, SC 00513",Yearly,Churned,NULL,Furniture,Table,267.00,2023-11-07,1,1,Aut aut velit in temporibus quidem.
2282,Megan Hutchinson,23,M,East Amandaport,Mayotte,2283885745878502,"81082 Miranda Ville Apt. 940, Houseshire, MD 46680",Yearly,Active,PantsWear,Clothing,Pants,442.00,2022-03-04,1,4,Quos error vel quasi reiciendis.
2283,Julie Horn,-3,F,Gomezstad,Congo,2370522061831237,"328 Bowman Forest, Angelamouth, NJ 97940",Rarely,Active,PantsWear,Clothing,Pants,-96.00,2022-04-24,4,5,Minima explicabo quo suscipit rem autem ut.
2284,Michael Gomez,1,F,Jenniferview,United States Virgin Islands,2705157991533003,"39032 Kevin Islands, North Eric, NY 14319",Rarely,Churned,SofaDeluxe,Furniture,Sofa,-86.00,2021-11-30,5,1,Velit ipsa itaque debitis nostrum accusantium autem possimus.
2285,Ashley Cain,-2,F,Cherylland,Turkey,5207705883467734,"1287 Christopher Gateway, Brucetown, NM 02526",Yearly,Churned,VegetablesBurst,Grocery,Vegetables,246.00,2020-03-02,3,2,Ex fugit omnis aut modi asperiores.
2286,Mr. Michael Welch II,79,M,West Jonathan,Mozambique,2582849475095842,"PSC 9886, Box 2639, APO AP 12960",Yearly,Churned,FreshVegetables,Grocery,Vegetables,395.00,2023-06-25,3,1,Magnam eligendi consectetur cum.
2287,Jesus Holloway,49,M,South Holly,Costa Rica,2720570550843657,"355 Matthew Station, Benjaminmouth, IL 04081",Monthly,Churned,The Art of Fiction,Books,Fiction,888.00,2020-12-26,4,1,Animi officia nulla modi omnis.
2288,Jessica Bennett,5,F,East Vincent,Malta,2720813258023465,"7651 David Streets, West Amyburgh, GU 17093",Yearly,Active,ChairPlus,Furniture,Chair,201.00,2020-05-18,7,3,Fuga nihil voluptates quia.
2289,Katie Craig,-2,M,New Michaelfurt,Romania,2249520615280082,"41990 Dustin Road Apt. 915, Port Felicia, UT 97332",Yearly,Churned,FreshSnacks,Grocery,Snacks,-23.00,2020-01-26,3,2,Quis et aut earum neque quam odit.
2290,Janet Pena,-1,F,Janetchester,Somalia,2255802998276627,"230 Gibson Haven, South Justinport, CT 63802",Rarely,Active,SpeakerMaster,Electronics,Speaker,839.00,2020-09-21,4,5,Quis amet corporis animi dolore omnis.
2291,Gail Hansen,150,M,West Jennifer,Botswana,2225138462571749,"1990 Lewis Ferry, North Deborahborough, NM 54501",Yearly,Active,PantsFits,Clothing,Pants,239.00,2022-10-31,10,2,Consequuntur totam eaque aut molestias.
2292,Eric Smith,150,F,Kimberlyton,Malawi,2239193009363732,"29289 Williams Tunnel, Byrdmouth, AS 60735",Yearly,Active,ComfortSofa,Furniture,Sofa,478.00,2019-08-20,10,1,Aperiam omnis vero maxime cupiditate.
2293,Latasha Rodriguez,32,F,Mitchellside,Guernsey,2266530624486388,"67164 Lewis Plaza, Port Michaelfurt, AK 24384",Yearly,Active,The Art of Non-fiction,Books,Non-fiction,-6.00,2022-06-07,1,3,Dolor iusto enim est quibusdam praesentium suscipit amet.
2294,Samantha Anderson,3,F,Pughmouth,Lao People's Democratic Republic,2266435856877884,"3063 Watts Springs, Lake Markland, SC 27988",Yearly,Churned,FreshSnacks,Grocery,Snacks,-23.00,2020-02-19,9,1,Est id tempora iusto libero quia.
2295,Michael Pace,87,M,Jenniferton,American Samoa,2259010720565822,"0677 Corey Ville Apt. 040, Bernardland, MT 04417",Yearly,Active,FreshBeverages,Grocery,Beverages,-47.00,2023-01-24,8,5,Omnis quam rem aliquam sequi blanditiis tempore harum.
2296,Mallory Jimenez,150,M,South Jamieshire,Bolivia,2231384666199349,"450 Joyce Summit, South Ashley, DC 53876",Rarely,Active,PhonePro,Electronics,Phone,-16.00,2019-12-20,4,2,Est aut tempora doloribus minus.
2297,Nicholas Garcia,150,F,North Heather,China,2221518887371839,"79480 Derrick Landing, West Daniel, ND 83954",Yearly,Active,The Art of Non-fiction,Books,Non-fiction,-6.00,2023-06-28,4,1,Et quia facilis quas aspernatur iure.
2298,Joan Jones,3,M,West Jasmin,Christmas Island,2253751502162918,"USNS Snyder, FPO AA 63358",Yearly,Churned,The Art of Non-fiction,Books,Non-fiction,-77.00,2019-02-18,4,4,Aliquid odio architecto vel possimus.
2299,Tiffany Daniels,67,F,Lisahaven,Estonia,2239533416120698,"4012 Humphrey Drive, South Darren, SD 79785",Yearly,Churned,PhonePro,Electronics,Phone,-16.00,2020-07-24,3,2,Necessitatibus est repellendus aliquid at.
2300,Barbara Austin,0,M,North Joseph,Togo,2273639921569209,"2212 Colon Common, Blanchardburgh, DE 10240",Yearly,Active,UltraLaptop,Electronics,Laptop,845.00,2023-02-16,1,4,Ut non et magnam animi et dolores vel.
2301,Shannon Smith,150,F,Lake Jessica,Namibia,2259654662477148,"0317 Kaitlin Brook, South Kellie, OK 88244",Monthly,Churned,SofaDeluxe,Furniture,Sofa,402.00,2022-06-08,5,4,Minima sint quisquam a.
2302,Zachary Scott,-1,M,Lake Tony,Cote d'Ivoire,5196027125317780,"278 Kevin Loop, Lake Ashley, CA 49302",Yearly,Churned,NULL,Books,Fiction,28.00,2022-01-16,1,5,Minus ab beatae placeat atque.
2303,Kelsey Taylor,43,M,Scottborough,United States of America,2604320131029694,"90204 Roger Islands, Lake William, NH 08388",Yearly,Active,PantsFits,Clothing,Pants,-40.00,2019-08-04,2,5,Tenetur a nulla expedita minima explicabo assumenda doloribus ratione.
2304,Debra Nelson,150,M,Lake Vanessaview,Comoros,2285923410834852,"26418 Bernard Pine Apt. 910, Port Zacharyburgh, MS 35515",Yearly,Churned,SofaPlus,Furniture,Sofa,-60.00,2022-08-09,6,2,Molestiae et sit alias quibusdam est sit.
2305,Andre Singh,150,M,West William,Lesotho,2720060788504925,"31836 Todd Knolls Apt. 255, Zacharyport, IA 83039",Yearly,Churned,BeveragesBurst,Grocery,Beverages,-85.00,2021-10-01,1,1,Nam sunt consequatur alias.
2306,Tyler Mcguire,150,F,North Claire,Finland,5367242517013128,"97982 Joanna Underpass Suite 648, East Patrickshire, CO 72353",Monthly,Churned,ChairPlus,Furniture,Chair,201.00,2021-11-11,10,2,Commodi sapiente minus perferendis reiciendis dolores.
2307,Timothy Gibbs,62,F,Birdchester,Turkey,2719927992866774,"Unit 2040 Box 7332, DPO AA 37397",Monthly,Active,FreshSnacks,Grocery,Snacks,237.00,2022-04-18,6,5,Sit eos sed laboriosam totam magnam placeat.
2308,Andrew Young,1,F,Davisfort,Iran,2509740096073989,"0009 Smith Plains Apt. 793, Shellyland, SD 63997",Yearly,Churned,Non-fictionTales,Books,Non-fiction,556.00,2020-03-06,9,4,Voluptatum similique quia magnam facere consequatur voluptas quidem.
2309,Anthony Carter,-4,F,Stricklandfort,Hungary,2284423633602021,"98797 Werner Lodge Apt. 962, Vargaschester, KS 52663",Yearly,Active,PantsFits,Clothing,Pants,822.00,2019-01-19,3,5,Quo error velit dolores optio cumque repudiandae expedita cupiditate.
2310,Nathan Ray,150,M,Port Kristenhaven,Qatar,5282631961477627,"205 Samantha Highway Suite 038, West Arthurfort, SD 15643",Yearly,Active,TastyBeverages,Grocery,Beverages,-29.00,2022-11-01,1,3,Ut tempora nisi laboriosam inventore officia qui eius.
2311,Toni Young,20,M,Lindsayville,Uganda,5196853196135466,"3459 Sullivan Loop, Patricialand, NE 56293",Yearly,Active,UltraLaptop,Electronics,Laptop,-28.00,2019-10-20,7,2,Et nemo quas voluptates enim nam vel et.
2312,Brooke Clayton,5,M,Brenthaven,Saint Helena,5373037993723279,"26274 Arias Squares Suite 120, Andrewberg, MA 37058",Yearly,Churned,UltraPhone,Electronics,Phone,-19.00,2019-12-11,10,4,Sit et optio alias ut.
2313,Kimberly Taylor,150,M,Josestad,Chile,2299284966267920,"5664 Avila Fort Apt. 871, East Jeffreyburgh, AL 42854",Yearly,Churned,ComfortSofa,Furniture,Sofa,140.00,2020-12-12,1,3,Voluptas soluta blanditiis ducimus rem occaecati.
2314,James Holmes,150,F,Port Kimberlyshire,Guernsey,2720073205596747,"8516 Stacey Light Suite 919, Jenniferport, TX 34734",Monthly,Churned,ProJacket,Clothing,Jacket,500.00,2019-01-27,6,2,Non eos quam ut et ullam quaerat reprehenderit dolorem.
2315,Shawn Green,54,M,Rojasshire,Nicaragua,5158477384222898,"402 Wallace Course, West Katherineport, VI 53571",Rarely,Active,SnacksBurst,Grocery,Snacks,453.00,2023-08-20,10,5,Fugit error mollitia tempora nisi.
2316,Jason Davis,150,F,South Lindsey,Burkina Faso,5194476526220725,"62697 Anthony Vista Suite 641, East Amber, NV 82789",Monthly,Churned,ShirtWear,Clothing,Shirt,305.00,2019-02-13,1,5,Quia eum dolores similique voluptatum saepe.
2317,Misty Johnson,150,F,South Elizabethfurt,Aruba,2281589619450891,"29153 Sharon Well Apt. 593, Burkeburgh, UT 97759",Yearly,Churned,PantsFits,Clothing,Pants,-42.00,2023-11-25,7,1,Omnis amet explicabo voluptatum.
2318,Steven Morgan,78,M,Sandrahaven,Ethiopia,2297483917159374,"079 Sarah Glen, North Laurie, PW 52437",Yearly,Active,MegaSpeaker,Electronics,Speaker,-82.00,2021-05-25,3,1,Reprehenderit ut sapiente voluptatem explicabo sed dolor.
2319,Michael Hopkins,150,M,Griffintown,Costa Rica,5433359640378960,"80178 Nunez Points Apt. 592, Loveside, KS 08175",Monthly,Active,NULL,Furniture,Chair,-94.00,2022-08-14,10,2,Harum dolorem omnis unde animi ut.
2320,Lauren Allen,1,F,Kylehaven,Czech Republic,2714569871708019,"29649 Parker Isle Suite 123, West Kelliburgh, NY 19924",Monthly,Churned,MegaSpeaker,Electronics,Speaker,140.00,2023-01-03,7,2,Molestiae commodi soluta molestiae blanditiis.
2321,Christina Andrews,-3,M,Brianborough,Belarus,2579952129853619,"46378 Walker Union Apt. 264, Anthonytown, SD 42857",Rarely,Churned,The Art of Educational,Books,Educational,175.00,2022-06-09,7,3,Qui sed odit consequatur soluta reiciendis deserunt impedit.
2322,Kyle Peters,-5,M,North Michael,Mismatched Country,2720117551989756,"4941 Clifford Ports Suite 603, Port Peter, AZ 72158",Yearly,Active,TastyBeverages,Grocery,Beverages,753.00,2019-11-24,1,3,Veniam esse aperiam officia quod.
2323,Kevin Phillips,150,F,Haleyborough,Gibraltar,2462049730155201,"PSC 9007, Box 2825, APO AP 96818",Yearly,Active,NULL,Grocery,Snacks,390.00,2022-07-30,5,5,Odit a eos est.
2324,Mitchell Knapp,150,M,Leefort,Bahrain,5113122072168219,"3240 Mclaughlin Mountains Apt. 644, Port Joseph, MD 89685",Yearly,Active,PhoneMaster,Electronics,Phone,-62.00,2022-12-12,3,1,Ipsam nemo dicta facere sit molestiae.
2325,Troy Clark,54,F,North Amyfurt,Holy See (Vatican City State),2485682590041583,"8827 Jenkins Dam, South Sarahmouth, MP 89208",Monthly,Active,NULL,Clothing,Shirt,90.00,2021-02-01,5,2,Quisquam eius vel veniam veritatis necessitatibus est accusamus.
2326,Lisa Gay,150,M,Lindseyborough,Honduras,2225848632721434,"497 Charles Ramp Suite 449, Angelaside, IN 07805",Yearly,Active,ComfortTable,Furniture,Table,-28.00,2022-06-15,8,2,Fugiat molestiae voluptate cum vel quis sint numquam non.
2327,Alicia Sanchez,-3,M,East Carla,Palestinian Territory,2258358447425700,"2104 Allen Mews, Nicholschester, CA 90915",Yearly,Churned,TastyVegetables,Grocery,Vegetables,812.00,2021-11-18,8,5,Minima dolorem molestiae magnam nobis rerum.
2328,Jason Figueroa,26,M,Nathanberg,Tajikistan,2242484963074604,"6606 Samantha Causeway, North Jameschester, IA 89475",Yearly,Churned,FreshVegetables,Grocery,Vegetables,-55.00,2024-01-21,9,1,Quia autem molestias corporis occaecati dolorem facilis quas.
2329,Mallory Jimenez,150,M,South Jamieshire,Bolivia,2231384666199349,"450 Joyce Summit, South Ashley, DC 53876",Rarely,Active,ChairPlus,Furniture,Chair,952.00,2023-09-21,7,1,Enim ut sed similique cupiditate officia quibusdam.
2330,Robin Garcia,30,M,West Samantha,Djibouti,2435647487323569,"2641 Diane Court, Feliciaville, LA 82905",Yearly,Churned,TableDeluxe,Furniture,Table,-69.00,2019-07-31,2,2,Id quia ducimus voluptas voluptatum voluptatem non.
2331,Jesus Holloway,49,M,South Holly,Costa Rica,2720570550843657,"355 Matthew Station, Benjaminmouth, IL 04081",Monthly,Churned,SpeakerPro,Electronics,Speaker,-48.00,2023-12-05,7,2,Adipisci et rerum exercitationem perferendis.
2332,Tammy Steele,41,M,Victoriaville,Costa Rica,2720179136482459,"116 Lewis Street Suite 656, East Teresamouth, OR 25419",Yearly,Active,The Art of Educational,Books,Educational,-91.00,2020-11-13,2,4,Recusandae assumenda aspernatur beatae voluptatibus ab a.
2333,Dr. Bradley Tran MD,150,F,Josephmouth,Vanuatu,2242031115270521,"88730 Emma Inlet, West Taraland, IN 13558",Yearly,Churned,TastyVegetables,Grocery,Vegetables,941.00,2019-03-13,1,4,Incidunt ut ipsum maxime earum.
2334,Pamela Gross,2,F,Hernandezburgh,Poland,2599036571925251,"0028 Rodriguez Ridge, Lake Aaron, SC 56534",Rarely,Churned,PhoneMaster,Electronics,Phone,-34.00,2019-06-09,6,4,In et molestiae consectetur accusantium.
