"id","name","age","gender","city","country","credit_card","full_address","user_source_type","user_status","product_name","category","subcategory","price","date_purchase","quantity","rating","comment","created_at","updated_at"
"267","Thomas Daniel","5","F","Lake Christopher","Turkmenistan","2269997079817267","PSC 4223, Box 3874, APO AP 08474","Monthly","Churned","ComfortSofa","Furniture","Sofa","915.00","2019-07-17","2","1","Nesciunt ut error corporis aperiam repellendus ea.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"268","Ronald Johnson","150","F","Port Alexandrafort","Bosnia and Herzegovina","2717583466899775","PSC 7513, Box 2130, APO AE 18125","Yearly","Churned","SofaPlus","Furniture","Sofa","604.00","2020-01-27","9","2","Autem labore ipsam provident eius aliquid sunt.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"269","Dr. Bradley Tran MD","150","F","Josephmouth","Vanuatu","2242031115270521","88730 Emma Inlet, West Taraland, IN 13558","Yearly","Churned","JacketFits","Clothing","Jacket","-88.00","2019-01-27","2","3","Eaque nulla sapiente consectetur blanditiis voluptatum voluptas beatae.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"270","Tiffany Holland","1","M","Michaelborough","Finland","2701820630797024","1629 Pham Creek Apt. 702, Lake Jacqueline, GA 35675","Yearly","Churned","ComfortChair","Furniture","Chair","654.00","2023-05-18","2","5","Pariatur animi sunt autem.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"271","Cynthia Johnston","59","F","Port Amber","United Kingdom","2453898309081706","6890 Elizabeth Forest Apt. 774, North Sarahchester, NM 10003","Yearly","Churned",NULL,"Clothing","Pants","-45.00","2020-08-21","7","4","Omnis cumque earum provident quae.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"272","Andrew Vasquez","150","F","Jamesmouth","Syrian Arab Republic","5406847597023137","475 Watson Fork, Bruceview, LA 15851","Yearly","Churned",NULL,"Grocery","Snacks","440.00","2021-08-14","8","2","Fugit cum voluptas est.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"273","Bonnie Watkins","150","M","East Juanport","Uruguay","2224968326133638","4235 Edward Ford Apt. 546, Hernandezchester, FM 57726","Yearly","Churned",NULL,"Electronics","Speaker","178.00","2019-03-20","6","2","Repellat in similique et sequi voluptatem aut ipsum.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"274","Travis Johnson","150","M","Alvaradoshire","Macao","2257809970099693","177 Justin Junction, North Michael, OH 68152","Monthly","Churned","UltraLaptop","Electronics","Laptop","-6.00","2020-08-31","7","1","Qui quo voluptates quaerat aspernatur a.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"275","Sarah Wilson","75","F","East Jamestown","Antigua and Barbuda","5125967060260477","22201 Anderson Loaf, Millerstad, PW 36395","Yearly","Churned","ShirtWear","Clothing","Shirt","805.00","2021-05-13","2","4","Quibusdam consequatur nesciunt autem suscipit.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"276","Kevin Mooney","150","F","Thorntonmouth","Ethiopia","2238852120716265","560 Courtney Manor Apt. 875, South Kimberly, WY 83581","Rarely","Churned","JacketWear","Clothing","Jacket","316.00","2019-08-30","3","1","Sed similique aperiam sint.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"277","Erik Roberts","150","F","Port Paulfurt","United States Virgin Islands","2705176166721409","41592 Janice Cove Apt. 330, Markton, IL 18462","Yearly","Churned","JacketFits","Clothing","Jacket","546.00","2019-01-19","6","5","Odio quasi autem sunt labore similique ducimus expedita quaerat.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"278","Duane Jackson","76","M","East Angieton","Malaysia","2229001286793145","4422 James Stream Apt. 285, East Elizabethchester, MS 02031","Monthly","Churned","PantsWear","Clothing","Pants","249.00","2022-12-17","2","4","Vel exercitationem est architecto necessitatibus voluptas quia deleniti.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"279","Randy Jackson","-5","F","South Renee","Heard Island and McDonald Islands","5372406991445915","01226 Morales Shore Suite 537, South Travis, KS 69924","Yearly","Active","ChairWear","Furniture","Chair","-35.00","2023-03-09","2","3","Doloribus aliquid corporis officia.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"280","Eric Jones","150","F","South Jeffreystad","Canada","2273008111396270","3240 Bryan Fork, Mataborough, HI 78637","Yearly","Churned","ComfortChair","Furniture","Chair","87.00","2023-01-07","6","5","Error minima nulla fugiat impedit maxime.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"281","Edwin Ford","150","M","Bellville","Mismatched Country","2222853894824929","212 Jessica Pike Apt. 676, Silvafort, IL 27455","Yearly","Active",NULL,"Furniture","Chair","61.00","2023-11-17","2","2","Numquam et ipsam eligendi totam amet.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"282","Dennis Alvarez","150","F","North David","Bhutan","2720749461581735","5004 Brandon Lane Suite 650, South Paul, AL 42501","Yearly","Churned",NULL,"Books","Educational","637.00","2022-12-30","5","2","In blanditiis aut repellat blanditiis tempora culpa.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"283","Corey Espinoza","-5","M","Mitchelltown","Guinea","2252729270220226","515 Robinson Turnpike, East Barbara, MP 54196","Monthly","Churned","MegaSpeaker","Electronics","Speaker","287.00","2019-07-16","5","2","Nesciunt dicta ipsam dolor asperiores quo magnam minima distinctio.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"284","Michael Gomez","1","F","Jenniferview","United States Virgin Islands","2705157991533003","39032 Kevin Islands, North Eric, NY 14319","Rarely","Churned","UltraSpeaker","Electronics","Speaker","427.00","2022-03-25","5","1","Atque quia eius quas soluta.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"285","John Brown","79","F","Smithmouth","Denmark","2244893856359849","6718 James Creek Apt. 731, South Javierton, MH 68449","Yearly","Active","TastyBeverages","Grocery","Beverages","166.00","2019-02-07","2","5","Qui minima omnis ipsum qui in et sunt quas.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"286","Pamela Allen","28","F","Haleystad","Cyprus","2232142786997292","8559 Hudson Highway, New Kevin, ME 58114","Yearly","Active","ShirtWear","Clothing","Shirt","-80.00","2023-04-06","1","3","Asperiores maiores veniam quam necessitatibus quasi voluptatem maiores vitae.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"287","Debra Small","-2","F","Williamsside","Namibia","2221289030675704","01632 Lynch Radial, West Michelle, FM 40414","Rarely","Active","ChairDeluxe","Furniture","Chair","840.00","2019-10-12","10","2","Aliquam et quis in eaque dolorem rem mollitia.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"288","Brandon Lowe","3","M","Michaelberg","Switzerland","2245712997903241","559 Morris Stravenue Suite 341, Wendymouth, TN 91409","Rarely","Active","JacketWear","Clothing","Jacket","136.00","2020-01-27","6","3","Doloribus aut cumque est ut voluptas fugit.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"289","Kimberly Murray","83","M","Johnsonfort","Saint Lucia","2229528300349454","5673 Rhodes Islands Suite 474, Buckleyborough, MO 81504","Yearly","Churned","TastyBeverages","Grocery","Beverages","-78.00","2020-06-26","9","3","Sed quisquam et sed aut nobis.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"290","Travis Schultz","66","M","New Melodyport","Nauru","2252207003367507","USNS Hall, FPO AP 60696","Yearly","Churned","SofaDeluxe","Furniture","Sofa","-1.00","2019-02-12","9","3","Iure beatae id hic quo.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"291","David Ellison","3","M","Woodland","Grenada","2277973550467310","099 Brown Harbors Suite 425, Josephhaven, OK 85883","Rarely","Active","EducationalTales","Books","Educational","908.00","2024-01-21","10","2","Tenetur non dolorem et sunt numquam.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"292","Ashley Hamilton","76","F","West Patrickchester","Mongolia","2712125756834354","8044 Long Fork Suite 818, South Natalieville, MO 56224","Yearly","Churned","ComfortTable","Furniture","Table","-22.00","2022-03-05","2","5","Sint quisquam quis ut.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"293","Hannah Lee","-2","F","Susanfurt","Cocos (Keeling) Islands","2702390908669379","825 James Curve, Jonesberg, KS 82458","Monthly","Churned","TastyBeverages","Grocery","Beverages","542.00","2020-12-15","2","4","Eligendi nobis quo alias cum aspernatur in.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"294","Jacqueline Carey","29","M","Port Carlos","Finland","2226170217939409","6865 Marie Curve Suite 797, Wallaceshire, GU 81303","Yearly","Churned","EducationalTales","Books","Educational","-8.00","2019-07-10","3","5","Ipsa consequuntur odit aperiam.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"295","Anthony Walker","150","M","New Jasmine","Gibraltar","2231615289649495","86069 Woodward Underpass, Lake Jeffrey, RI 87928","Monthly","Churned","TableDeluxe","Furniture","Table","909.00","2022-09-24","10","3","Totam culpa quia perferendis.","2024-01-23 08:34:50","2024-01-23 08:34:50"
"296","Zachary Meadows","46","M","Brooketon","Netherlands Antilles","2233819556870200","66834 Melissa Street, Port Sarafurt, PW 03913","Yearly","Churned","BeveragesBurst","Grocery","Beverages","-7.00","2023-12-20","10","2","Nemo et illo eum aut consequuntur sed a est.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"297","Donald Durham","80","M","South Robert","Mismatched Country","2281563971844967","04223 Shelby Extension Suite 208, Ashleyfurt, NJ 24251","Yearly","Active","ShirtDeluxe","Clothing","Shirt","457.00","2021-08-13","6","4","Placeat non molestiae ut a.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"298","Gerald Joseph","85","M","Kingland","New Zealand","5209076535429821","17681 Jimenez Route Suite 075, East Robertberg, NJ 40047","Rarely","Churned","BeveragesBurst","Grocery","Beverages","-80.00","2022-10-04","5","3","At nemo nesciunt et quae ducimus molestiae.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"299","Margaret Elliott","5","M","South Barbara","Bahamas","2221133971126832","257 Frederick Lane Apt. 667, East Connie, HI 01991","Yearly","Active","UltraSpeaker","Electronics","Speaker","382.00","2019-10-15","7","1","Et repellendus et ut hic deserunt cum exercitationem.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"300","Rhonda Rivas","-5","F","Monroeberg","Solomon Islands","2226014294420331","Unit 0182 Box 2373, DPO AE 73754","Yearly","Active","LaptopPro","Electronics","Laptop","-38.00","2021-11-24","3","5","Recusandae molestiae illum nobis pariatur.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"301","Zachary Mcintyre","150","M","Stevensfurt","Romania","2257307586772217","Unit 7205 Box 1355, DPO AE 26839","Yearly","Churned","TableDeluxe","Furniture","Table","-68.00","2022-07-15","6","3","Provident nulla rerum vero autem.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"302","Brooke Stephenson","12","M","Port Wesleymouth","Mongolia","2250019126889644","0821 Wright View Suite 954, Elizabethside, NH 35737","Monthly","Active","ComfortSofa","Furniture","Sofa","299.00","2020-08-01","9","5","Cumque culpa facilis consequatur repellat.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"303","Kendra Morrison","150","F","Lake Kimberlytown","Romania","2458851112329569","174 Ann Tunnel, North Catherineside, WI 37042","Yearly","Active","JacketFits","Clothing","Jacket","-45.00","2023-08-07","1","3","Et est quia eveniet id fugiat adipisci.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"304","Michele Best","72","M","Port Sergio","Egypt","2556439104848944","4039 David Fords Apt. 678, Lake Christopherberg, PA 42384","Yearly","Churned","TastyBeverages","Grocery","Beverages","-86.00","2021-01-09","2","1","Aliquam iure cum sapiente est molestiae consequatur.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"305","Mathew Walton","76","M","East Brandonfort","Uruguay","2253357567674522","306 Salazar Mountains Suite 666, Butlerchester, FM 90279","Monthly","Churned","FreshSnacks","Grocery","Snacks","-86.00","2023-02-15","6","3","Nam et omnis ex est rem qui.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"306","Kathleen Horton","23","F","New Jennifer","Burundi","2703915871603838","6834 Murray Throughway, Cookborough, WV 86097","Rarely","Churned","VegetablesBurst","Grocery","Vegetables","-45.00","2019-07-15","5","2","Voluptatem odit officia laboriosam quo aut.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"307","Kristie Walker","32","F","North Heatherville","Estonia","2714147652055874","44796 Benjamin Crescent, Randallland, AK 47276","Yearly","Active","SpeakerMaster","Electronics","Speaker","-77.00","2022-07-27","5","4","Quis ut incidunt distinctio itaque in natus.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"308","Tom Cooper DDS","17","M","East Betty","Ukraine","2267594971280488","USCGC Rogers, FPO AE 97112","Monthly","Active","ComfortChair","Furniture","Chair","-59.00","2021-08-12","6","2","Pariatur tempore dignissimos illum et placeat tempora.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"309","Thomas Price","83","F","Richardsonview","Seychelles","2563707212426493","724 Pierce Run, New Stephen, AL 69126","Yearly","Active","Non-fictionTales","Books","Non-fiction","843.00","2020-06-16","1","5","Autem aperiam autem voluptatibus incidunt eveniet asperiores officia.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"310","Catherine Jones","25","M","Pughhaven","Colombia","5348721286229928","558 Clark Wall Suite 927, Lake Rose, HI 79553","Yearly","Churned","JacketMaster","Clothing","Jacket","215.00","2020-10-28","9","4","Quia sed velit voluptate non.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"311","Nathan Ray","150","M","Port Kristenhaven","Qatar","5282631961477627","205 Samantha Highway Suite 038, West Arthurfort, SD 15643","Yearly","Active","VegetablesBurst","Grocery","Vegetables","-35.00","2022-07-10","7","4","Quibusdam qui laborum dicta aut distinctio sed.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"312","Randy Jackson","4","M","Andrewchester","Gambia","5366040321256235","860 Kenneth Courts, Stacieberg, WA 31240","Yearly","Churned","JacketFits","Clothing","Jacket","-74.00","2020-10-12","10","5","Molestiae minus officia voluptas eius.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"313","Gregory Mitchell","150","M","South Vanessa","Sudan","5492984097621287","4148 Rose Estates Suite 643, Rachelmouth, GA 35555","Rarely","Churned","BeveragesBurst","Grocery","Beverages","339.00","2023-11-13","7","4","Sunt voluptas qui iure ea qui exercitationem quis cum.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"314","Mark Anderson","150","F","Denisemouth","Russian Federation","2441052781592310","2988 Porter Center, South Brandonton, MN 32107","Yearly","Churned","SofaPlus","Furniture","Sofa","659.00","2023-08-23","1","2","Delectus possimus quos nesciunt odio harum aut et sed.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"315","Amy Greer","24","F","Bruceberg","Norway","2625208119051985","5148 Hanson Valley Apt. 188, Carolynport, AK 15218","Yearly","Active","The Art of Non-fiction","Books","Non-fiction","-96.00","2020-07-24","3","2","Itaque alias provident expedita sint nostrum.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"316","Vanessa Singh","96","M","West Mariahaven","Cook Islands","5161027383883466","471 Robertson Forge, Taylorberg, ME 36798","Rarely","Churned","MegaSpeaker","Electronics","Speaker","-76.00","2020-08-24","8","2","Explicabo reprehenderit excepturi et temporibus recusandae.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"317","Timothy Combs","-4","F","West Juliefort","Sweden","2222828875717151","25735 Ashley Prairie Apt. 020, West Taylor, OH 47887","Yearly","Churned","VegetablesBurst","Grocery","Vegetables","839.00","2022-09-23","6","1","Sit est vitae ullam.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"318","Gary Davila","-3","M","South Joshuaside","Ireland","2255080666153101","46839 Gallagher Club Apt. 821, Jamesland, OK 15905","Rarely","Active","EducationalGuide","Books","Educational","318.00","2020-12-09","7","5","Eum voluptatem maiores voluptas sit.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"319","Douglas Hanson","150","M","West Joseph","Netherlands","5458491786017720","2328 Smith Shoal, Wrightmouth, IL 76254","Yearly","Active","ComfortChair","Furniture","Chair","-22.00","2019-01-02","7","2","Aut perspiciatis rem soluta sit.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"320","Kathryn Forbes","150","F","West Jennifer","Senegal","2565209606888956","399 Joshua Corner, East Matthew, ND 96409","Yearly","Active","UltraPhone","Electronics","Phone","-19.00","2019-07-09","1","1","Explicabo accusamus dolore pariatur dolorum deserunt molestiae debitis.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"321","James Perkins","-2","M","East Leslie","Cambodia","2702268280423963","914 Kathy Crest, East Vincent, WI 57131","Yearly","Churned","The Art of Educational","Books","Educational","-1.00","2022-05-16","10","3","Minima nisi libero perspiciatis esse et rerum repellendus.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"322","Destiny Quinn","4","M","South Roger","Mauritius","5536864523833847","61844 Dunn Turnpike, Elizabethport, MI 97071","Yearly","Active","SofaPlus","Furniture","Sofa","-26.00","2020-09-05","7","2","In praesentium necessitatibus et aut.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"323","Mr. Michael Welch II","79","M","West Jonathan","Mozambique","2582849475095842","PSC 9886, Box 2639, APO AP 12960","Yearly","Active","UltraSpeaker","Electronics","Speaker","-41.00","2023-07-15","4","1","Vel deserunt enim et hic quos.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"324","Sherri Miller","4","M","West Paul","Indonesia","2720730426423684","2144 Wilson Rapid Suite 697, Samanthaside, ND 17764","Rarely","Active","EducationalTales","Books","Educational","-34.00","2023-01-21","2","4","Explicabo sequi nihil magni perferendis blanditiis.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"325","Leslie Williams","42","M","Port Antonio","Dominican Republic","2245833585132199","94009 Mann Skyway Suite 748, Jeanettebury, WI 22691","Rarely","Churned","FictionTales","Books","Fiction","-28.00","2020-05-27","7","5","Eveniet architecto architecto beatae neque.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"326","John Wagner","3","M","Jamesfurt","Ghana","2232948786326930","62189 Brandon Island, West Calvin, SD 07575","Yearly","Churned","BeveragesBurst","Grocery","Beverages","534.00","2023-01-31","5","3","Recusandae mollitia voluptatem nulla repellat est.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"327","Rhonda Rivas","-5","F","Monroeberg","Solomon Islands","2226014294420331","Unit 0182 Box 2373, DPO AE 73754","Yearly","Active","FictionGuide","Books","Fiction","-50.00","2023-09-29","3","5","Eum quaerat et in voluptatem et.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"328","Dr. Rachel Armstrong","67","F","East Zacharymouth","Saint Vincent and the Grenadines","2410312485171267","PSC 7963, Box 5021, APO AP 11717","Monthly","Churned","MegaLaptop","Electronics","Laptop","-95.00","2022-03-24","10","5","Odio et laudantium a asperiores tempore et.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"329","Mary Warner","-3","M","Monicafort","Lao People's Democratic Republic","2616374902705079","09512 Ross Lights Apt. 120, South Amandamouth, SC 13663","Rarely","Active","ProJacket","Clothing","Jacket","67.00","2023-05-09","4","4","Facere maxime dolor omnis consequatur.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"330","Shannon Price","150","M","North Curtisland","Comoros","5376928118720348","8994 Olson Expressway Suite 761, Morganberg, AR 21366","Rarely","Churned","EducationalTales","Books","Educational","-8.00","2021-01-04","4","3","Laudantium nulla non sit quos quia.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"331","Debra Small","-2","F","Williamsside","Namibia","2221289030675704","01632 Lynch Radial, West Michelle, FM 40414","Rarely","Churned","SnacksBurst","Grocery","Snacks","863.00","2019-12-19","10","1","Illum quaerat architecto repudiandae ullam enim repellendus et.","2024-01-23 08:34:51","2024-01-23 08:34:51"
"332","Rebekah Anderson","150","F","North Kristenmouth","Armenia","5367060619379779","PSC 1260, Box 2652, APO AP 35423","Yearly","Active","UltraLaptop","Electronics","Laptop","-68.00","2022-06-19","5","1","Rerum cumque dolorum soluta veniam.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"333","Audrey Harvey","150","M","North Brettview","Puerto Rico","2291121671066379","096 Bowers Track, New Mark, WI 60265","Yearly","Active","ChairDeluxe","Furniture","Chair","-78.00","2021-03-23","8","5","Id et sed debitis.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"334","Troy Clark","52","M","Cummingsmouth","Nauru","2242877603047767","5854 Nicole Loaf, Tylershire, CO 44581","Yearly","Churned","ProPants","Clothing","Pants","361.00","2020-01-17","8","4","Cumque quam sequi labore expedita repudiandae.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"335","Michele Fox","58","F","Lake Tammy","Switzerland","2237060173047528","92226 Parker Stream, West Brian, KS 12787","Yearly","Active","FictionTales","Books","Fiction","665.00","2021-05-30","1","5","Suscipit eligendi consequatur non.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"336","Jessica Davis","13","M","Port Joseph","Lebanon","5422404502717708","104 Bailey Ridges Apt. 608, East Amber, PW 31464","Monthly","Churned","LaptopMaster","Electronics","Laptop","39.00","2021-09-20","7","5","Autem minima qui quas est.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"337","Mary Fernandez","4","F","Muellerfort","Romania","5303609252340642","1011 Martin Green Apt. 251, Perezburgh, FM 36397","Yearly","Churned","JacketFits","Clothing","Jacket","-51.00","2022-04-29","7","5","Corporis asperiores qui similique qui iure.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"338","Christian Curry MD","64","M","Jensenfurt","Brunei Darussalam","2238348117052863","735 Jones Mews, New Ginafurt, AR 99785","Yearly","Churned","The Art of Educational","Books","Educational","821.00","2023-05-13","8","4","Incidunt voluptatem est iste reprehenderit consectetur sapiente et.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"339","Alexander Pearson","150","M","East Thomastown","Palestinian Territory","5588715623073360","190 Stacy Groves Apt. 676, South Kristin, TX 02169","Monthly","Churned","ShirtDeluxe","Clothing","Shirt","457.00","2021-05-18","1","3","Laudantium distinctio esse minima aspernatur id voluptatem voluptatum.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"340","Samantha Myers","0","F","Lake Melanieborough","Libyan Arab Jamahiriya","2707321928454042","50180 Chang Knolls Apt. 192, Cohenchester, SD 54381","Yearly","Active","FictionGuide","Books","Fiction","-70.00","2023-11-29","2","4","Amet voluptas vel et autem neque labore.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"341","Denise Lawson","5","F","Gibsonhaven","Solomon Islands","2404582915881416","973 Zhang Neck, Maryside, ID 66011","Yearly","Active","MegaSpeaker","Electronics","Speaker","-6.00","2020-02-23","10","3","Quia expedita quas ut voluptatem corrupti cum voluptates.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"342","Ann Elliott","150","M","North Christy","Faroe Islands","2250862604054805","8151 Kathleen Locks Apt. 688, Melissaburgh, MD 92104","Yearly","Churned","ComfortChair","Furniture","Chair","-22.00","2022-02-14","1","5","Cupiditate debitis aliquam quia aut.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"343","Daniel Miles","10","M","Antonioborough","Montserrat","2424911422394785","900 Williams Underpass Apt. 927, Port Isaiahborough, LA 24715","Yearly","Churned","ShirtWear","Clothing","Shirt","233.00","2023-09-24","1","5","Tenetur aspernatur dignissimos sunt consequatur.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"344","Gregory Mitchell","150","M","South Vanessa","Sudan","5492984097621287","4148 Rose Estates Suite 643, Rachelmouth, GA 35555","Rarely","Active","ShirtWear","Clothing","Shirt","269.00","2021-02-16","2","3","Sit et quia nisi et molestias tenetur unde.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"345","Thomas Mueller","150","F","Annborough","Sudan","2260014971242336","2050 Ramirez Mission, North Robert, MO 53868","Yearly","Churned",NULL,"Electronics","Laptop","-3.00","2023-12-10","6","4","Sed iure beatae assumenda qui.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"346","Susan Moran","150","F","Williamsview","Belarus","2610852254279971","13989 Snyder Square Suite 806, South Kimberlybury, IA 65083","Yearly","Churned","PhoneMaster","Electronics","Phone","-74.00","2021-05-18","5","3","Saepe corrupti omnis unde quo modi placeat illo.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"347","Jason Campbell","89","F","East Paul","Cameroon","2267364594832416","5327 Dalton Vista, Princebury, MP 18022","Yearly","Active",NULL,"Clothing","Pants","430.00","2022-02-17","3","5","Suscipit necessitatibus ut ut sed eum.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"348","Anthony Smith","150","F","Brownmouth","Cook Islands","2260311802607632","0331 Townsend Point Suite 807, New Jerry, CA 88089","Yearly","Active","ComfortTable","Furniture","Table","-65.00","2019-09-28","6","1","Minus minima ipsa qui qui enim nostrum ex.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"349","Alisha Mitchell","-1","F","Hillmouth","Lao People's Democratic Republic","2540549961324844","8792 Monica Knolls Apt. 398, South Cherylside, NJ 14476","Yearly","Active","EducationalGuide","Books","Educational","199.00","2019-04-22","4","4","Dolores tempore non quis qui omnis adipisci velit.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"350","Denise Ortiz","-4","F","New Eric","Malaysia","2266019650918910","45706 Roman Fields Suite 035, Jameston, MS 47395","Monthly","Active","ShirtWear","Clothing","Shirt","891.00","2019-07-03","1","3","Exercitationem exercitationem id id in voluptas.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"351","Dennis Henderson","150","M","South Laura","Russian Federation","2237125564215636","65243 Kimberly Path, Port Jessicastad, NJ 93802","Yearly","Active","ComfortSofa","Furniture","Sofa","-19.00","2021-04-28","9","4","Animi omnis consectetur et illum reprehenderit necessitatibus tenetur.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"352","Robert White","2","M","Tannerport","Norway","2720964990919617","986 Jones Trafficway, Samanthaville, PR 14917","Yearly","Active","ProShirt","Clothing","Shirt","-10.00","2022-01-01","10","3","Aliquam facilis aut delectus dicta vel dolor ad laborum.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"353","Jennifer Patterson","150","M","West Anthony","Burkina Faso","5391524117306873","7594 Kevin Shoals, Davisshire, IL 11488","Rarely","Churned","FreshBeverages","Grocery","Beverages","-69.00","2023-06-04","9","4","Tempore velit dolor eaque est.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"354","Sean Krueger","1","M","North Jacquelineside","Belarus","2350570673531897","9477 Michelle Summit, South Margaretview, FL 78202","Rarely","Active","Non-fictionTales","Books","Non-fiction","595.00","2020-01-16","4","1","Doloribus debitis vel dolor non.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"355","Billy Smith","40","M","Lake Kimberlyfurt","Germany","2243262392969449","906 Richard Turnpike, Port Thomasport, ME 45463","Yearly","Active","TableDeluxe","Furniture","Table","464.00","2023-05-21","8","4","Optio quia distinctio pariatur nisi.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"356","Peter Pierce","34","M","Gillespietown","Zambia","5550816368254886","798 Garza Throughway, Buchananhaven, VT 48619","Yearly","Active","EducationalGuide","Books","Educational","446.00","2022-08-04","9","1","Qui dolor doloremque mollitia laborum dolore possimus eaque.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"357","Julie Smith","12","M","Monicatown","Mauritania","2480451240895730","52182 Pearson Stravenue Suite 114, East Rachel, DC 84246","Yearly","Active","TastyBeverages","Grocery","Beverages","621.00","2020-02-24","9","1","Fugiat ad quibusdam quis accusantium dolor sit perferendis.","2024-01-23 08:34:52","2024-01-23 08:34:52"
"358","Joshua Novak","-1","M","South Peggy","Iraq","2690183239818136","PSC 3469, Box 3786, APO AP 56640","Yearly","Active","FictionGuide","Books","Fiction","-77.00","2022-02-16","10","1","Quia officia aut quo qui similique.","2024-01-23 08:34:52","2024-01-23 08:34:52"
